,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
1,1,Abbotsford Private Hospital,61 Cambridge Street,West Leederville,Western Australia,6007,,892006282,Private,Private,No,,-31.940992,115.837344
2,2,Adelaide Clinic,33 Park Terrace,Gilberton,South Australia,5081,,882698100,Private,Private,No,,-34.90658,138.613167
3,3,Adelaide Day Surgery Pty Ltd,18 North Terrace,Adelaide,South Australia,5000,,882394900,Private,Private,No,,-34.922409,138.588817
4,4,Adelaide Eye & Laser Centre,215 Greenhill Road,Eastwood,South Australia,5063,,882747000,Private,Private,Yes,,-34.94042,138.6215
5,5,Adelaide Surgicentre,89 King William Street,Kent Town,South Australia,5067,,882110000,Private,Private,No,,-34.917691,138.621022
6,6,Aesthetic Day Surgery,14 Kensington Street,Kogarah,New South Wales,2217,,295539905,Private,Private,Yes,,-33.964843,151.135032
7,7,Albany Hospital,Warden Avenue,Albany,Western Australia,6330,,898922222,Public,Public,Yes,,-35.003407,117.904468
8,8,Albert Road Clinic,31 Albert Road,Melbourne,Victoria,3004,,392568311,Private,Private,No,,-37.834246,144.972151
9,9,Albury Wodonga Health [Albury Campus],201 Borella Road,Albury,New South Wales,2640,,260584444,Public,Public,Yes,,-36.078401,146.939146
10,10,Albury Wodonga Health [Wodonga Campus],69 Vermont Street,Wodonga,Victoria,3690,,260517111,Public,Public,Yes,,-36.131791,146.879417
11,11,Albury Wodonga Private Hospital,1125 Pemberton Street,West Albury,New South Wales,2640,,260411411,Private,Private,Yes,,-36.075621,146.883177
12,12,Alexandra District Hospital,12 Cooper Street,Alexandra,Victoria,3714,,357720900,Public,Public,No,,-37.195065,145.716143
13,13,Alice Springs Hospital,6 Gap Road,Alice Springs,Northern Territory,870,,889517777,Public,Public,Yes,,-23.705758,133.878064
14,14,Allowah Presbyterian Children's Hospital,8 Perry Street,Dundas,New South Wales,2117,,298584994,Private,Private,No,,-33.791787,151.06387
15,15,Alpha Hospital,1 Burns Street,Alpha,Queensland,4724,,748097000,Public,Public,No,,-23.649039,146.632962
16,16,Alpine Health [Bright],36-42 Cobden Street,Bright,Victoria,3741,,357550100,Public,Public,No,,-36.732701,146.965924
17,17,Alpine Health [Mount Beauty],10 Hollonds Street,Mt Beauty,Victoria,3699,,357543500,Public,Public,No,,-36.743354,147.169359
18,18,Alpine Health [Myrtleford],30 O'Donnell Avenue,Myrtleford,Victoria,3736,,357519300,Public,Public,No,,-36.554525,146.728795
19,19,Angaston District Hospital,29 North Street,Angaston,South Australia,5353,,885638500,Public,Public,No,,-34.503549,139.054715
20,20,Angliss Hospital,Albert Street,Upper Ferntree Gully,Victoria,3156,,1300342255,Public,Public,Yes,,-37.898663,145.314166
21,21,Armadale-Kelmscott Memorial Hospital,3056 Albany Highway,Armadale,Western Australia,6112,,893912000,Public,Public,Yes,,-32.133212,116.020023
22,22,Armidale Hospital,226 Rusden Street,Armidale,New South Wales,2350,,267769500,Public,Public,No,,-30.512726,151.655629
23,23,Armidale Private Hospital,Rusden Street,Armidale,New South Wales,2350,,267714000,Private,Private,No,,-30.512719,151.654565
24,24,Ashford Hospital,55 Anzac Highway,Ashford,South Australia,5035,,883755222,Private,Private,Yes,,-34.948142,138.576725
25,25,Atherton Hospital,Corner of Louise and Jack Streets,Atherton,Queensland,4883,,740910211,Public,Public,No,,-17.266635,145.483177
26,26,Attadale Rehabilitation Hospital,21 Hislop Road,Attadale,Western Australia,6156,,893301000,Private,Private,No,,-32.029729,115.810669
27,27,Auburn Hospital,18-20 Hargrave Road,Auburn,New South Wales,2144,,287593000,Public,Public,Yes,,-33.859867,151.033204
28,28,Augathella Hospital,Cavanagh Street,Augathella,Queensland,4477,,746567100,Public,Public,No,,-25.796104,146.590919
29,29,Augusta Hospital,Donovan Street,Augusta,Western Australia,6290,,897583222,Public,Public,No,,-34.305814,115.157983
30,30,Austin Hospital [Heidelberg],145 Studley Road,Heidelberg,Victoria,3084,,394965000,Public,Public,Yes,,-37.756355,145.060236
31,31,Ayr Hospital,2 Chippendale Street,Ayr,Queensland,4807,,747830855,Public,Public,No,,-19.564066,147.408821
32,32,Babinda Hospital,128 Munro Street,Babinda,Queensland,4861,,740678200,Public,Public,No,,-17.343079,145.918908
33,33,Baillie Henderson Hospital,Corner of Hogg and Tor Streets,Toowoomba,Queensland,4350,,746998888,Public,Public,Yes,,-27.524371,151.936283
34,34,Bairnsdale Regional Health Service,122 Day Street,Bairnsdale,Victoria,3875,,351503333,Public,Public,Yes,,-37.830814,147.607905
35,35,Balaklava Soldiers' Memorial District Hospital,16 War Memorial Drive,Balaklava,South Australia,5461,,888621400,Public,Public,No,,-34.139594,138.419596
36,36,Ballarat Day Procedure Centre,1119-1123 Howitt Street,Wendouree,Victoria,3350,,353382666,Private,Private,No,,-37.540799,143.83214
37,37,Ballarat Health Services [Base Campus],1 Dummond Street North,Ballarat Central,Victoria,3350,,353204000,Public,Public,Yes,,-37.559658,143.847041
38,38,Ballarat Health Services [Queen Elizabeth Campus],102 Ascot Street,Ballarat,Victoria,3350,,353203700,Public,Public,No,,-37.564276,143.843264
39,39,Ballina Day Surgery,"Suite 6, 46 Tamar Street",Ballina,New South Wales,2478,,266819999,Private,Private,No,,-28.870711,153.563241
40,40,Ballina Hospital,78-92 Cherry Street,Ballina,New South Wales,2478,,266862111,Public,Public,No,,-28.863525,153.564013
41,41,Balmain Hospital,29 Booth Street,Balmain,New South Wales,2041,,293952111,Public,Public,No,,-33.859469,151.181469
42,42,Balranald Multi Purpose Service,41-43 Court Street,Balranald,New South Wales,2715,,350719800,Public,Public,No,,-34.644549,143.568413
43,43,Bamaga Hospital,Sagaukaz Street,Bamaga,Queensland,4876,,740693166,Public,Public,No,,-10.893996,142.385131
44,44,Bankstown Lidcombe Hospital,68 Eldridge Road,Bankstown,New South Wales,2200,,297228000,Public,Public,Yes,,-33.933088,151.020823
45,45,Baradine Multi Purpose Service,5-9 Macquarie Street,Baradine,New South Wales,2396,,268434100,Public,Public,No,,-30.945316,149.066189
46,46,Baralaba Hospital,Stopford Street,Baralaba,Queensland,4702,,749982800,Public,Public,No,,-24.184268,149.809586
47,47,Barcaldine Hospital,Oak Street,Barcaldine,Queensland,4725,,746504000,Public,Public,No,,-23.553316,145.293674
48,48,Barham Hospital,70 Punt Road,Barham,New South Wales,2732,,354511000,Public,Public,No,,-35.623823,144.133479
49,49,Baringa Private Hospital,31 Mackays Road,Coffs Harbour,New South Wales,2450,,266594444,Private,Private,No,,-30.278813,153.102893
50,50,Barmera Health Service,Hawdon Street,Barmera,South Australia,5345,,885880400,Public,Public,No,,-34.249146,140.471706
51,51,Barraba Multi Purpose Service,Edward Street,Barraba,New South Wales,2347,,267822500,Public,Public,No,,-30.382482,150.605778
52,52,Bass Coast Regional Health,235 Graham Street,Wonthaggi,Victoria,3995,,356713333,Public,Public,No,,-38.608747,145.580906
53,53,Batemans Bay Hospital,7 Pacific Street,Batemans Bay,New South Wales,2536,,244751500,Public,Public,No,,-35.714055,150.182375
54,54,Bathurst Health Service,361-365 Howick Street,Bathurst,New South Wales,2795,,263305311,Public,Public,Yes,,-33.406512,149.572699
55,55,Bathurst Private Hospital,Gorman's Hill Road,Bathurst,New South Wales,2795,,263317766,Private,Private,No,,-33.435215,149.589242
56,56,Batlow/Adelong Multi Purpose Service,61-81 Pioneer Street,Batlow,New South Wales,2730,,269414333,Public,Public,No,,-35.521951,148.147891
57,57,Beaconsfield District Health Service,13 Bolton Street,Beaconsfield,Tasmania,7270,,367026060,Public,Public,No,,-41.193478,146.806719
58,58,Beaudesert Hospital,64 Tina Street,Beaudesert,Queensland,4285,,755419111,Public,Public,No,,-27.984869,153.002536
59,59,Beaufort & Skipton Health Service [Beaufort],28 Havelock Street,Beaufort,Victoria,3373,,353491600,Public,Public,No,,-37.431028,143.382284
60,60,Beaufort & Skipton Health Service [Skipton],Blake Street,Skipton,Victoria,3361,,353401100,Public,Public,No,,-37.683998,143.367547
61,61,Beechworth Health Service,52 Sydney Road,Beechworth,Victoria,3747,,357280200,Public,Public,No,,-36.349359,146.690739
62,62,Bega Valley Private Hospital,31 Parker Street,Bega,New South Wales,2550,,264924144,Private,Private,No,,-36.673617,149.845812
63,63,Beleura Private Hospital,925 Nepean Highway,Mornington,Victoria,3931,,359760888,Private,Private,Yes,,-38.225484,145.049136
64,64,Bellbird Private Hospital,198 Canterbury Road,Blackburn South,Victoria,3130,,398452333,Private,Private,No,,-37.833073,145.156018
65,65,Bellinger River District Hospital,43 Church Street,Bellingen,New South Wales,2454,,266595800,Public,Public,No,,-30.457256,152.893209
66,66,Belmont Hospital,16 Croudace Bay Road,Belmont,New South Wales,2280,,249232000,Public,Public,Yes,,-33.024631,151.648181
67,67,Benalla & District Memorial Hospital,45-53 Coster Street,Benalla,Victoria,3672,,357602222,Public,Public,No,,-36.555239,145.994675
68,68,Bendigo Health Care Group [Anne Caudle],100 Barnard Street,Bendigo,Victoria,3550,,354546000,Public,Public,No,,-36.750919,144.280399
69,69,Bentley Hospital,18-56 Mills Street,Bentley,Western Australia,6102,,894163666,Public,Public,Yes,,-32.005332,115.927922
70,70,Berkeley Vale Private Hospital,Lorraine Avenue,Berkeley Vale,New South Wales,2261,,243899100,Private,Private,No,,-33.337061,151.432784
71,71,Berrigan Multi Purpose Service,137-143 Memorial Place,Berrigan,New South Wales,2712,,358885300,Public,Public,No,,-35.662312,145.813035
72,72,Berwick Eye and Surgicentre,22 Langmore Lane,Berwick,Victoria,3806,,397689210,Private,Private,No,,-38.033667,145.346487
73,73,Bethesda Hospital,25 Queenslea Drive,Claremont,Western Australia,6010,,893406300,Private,Private,No,,-31.986967,115.778484
74,74,Beverley Hospital,Sewell Street,Beverley,Western Australia,6304,,896463200,Public,Public,No,,-32.102825,116.922962
75,75,Biggenden Hospital,Alice Street,Biggenden,Queensland,4621,,741276400,Public,Public,No,,-25.506406,152.051099
76,76,Biloela Hospital,2 Hospital Road,Biloela,Queensland,4715,,749927000,Public,Public,No,,-24.395813,150.517491
77,77,Bingara Multi Purpose Service,Keera Street,Bingara,New South Wales,2404,,267280100,Public,Public,No,,-29.864055,150.579235
