USPS,ST,NAME,ZCTA5,LAT,LON
New South Wales,NSW,Albury,2640,-36.07352,146.91573
New South Wales,NSW,East Albury,2640,-36.09041,146.93912
New South Wales,NSW,Ettamogah,2640,-36.00155,146.95585
New South Wales,NSW,Glenroy (Albury - NSW),2640,-36.05258,146.89876
New South Wales,NSW,Glenroy (Albury - NSW),2653,-35.74719,147.88053
New South Wales,NSW,Hamilton Valley,2641,-36.02472,146.89686
New South Wales,NSW,Lake Hume Village,3691,-36.0943,147.03631
New South Wales,NSW,Lavington,2641,-36.02909,146.93586
New South Wales,NSW,North Albury,2640,-36.06059,146.93743
New South Wales,NSW,South Albury,2640,-36.09831,146.91415
New South Wales,NSW,Splitters Creek,2640,-36.05218,146.84864
New South Wales,NSW,Springdale Heights,2641,-36.02548,146.95794
New South Wales,NSW,Table Top,2640,-35.93717,147.02997
New South Wales,NSW,Thurgoona,2640,-36.05481,146.98849
New South Wales,NSW,West Albury,2640,-36.07353,146.88731
New South Wales,NSW,Wirlinga,2640,-36.04811,147.05654
New South Wales,NSW,Aberfoyle,2350,-30.23695,151.98519
New South Wales,NSW,Armidale,2350,-30.50195,151.66739
New South Wales,NSW,Backwater,2365,-30.05245,151.92236
New South Wales,NSW,Bald Blair,2365,-30.1723,151.81579
New South Wales,NSW,Baldersleigh,2365,-30.24226,151.4276
New South Wales,NSW,Ben Lomond (NSW),2365,-30.00596,151.66567
New South Wales,NSW,Black Mountain (NSW),2365,-30.32917,151.68914
New South Wales,NSW,Boorolong,2350,-30.35699,151.45893
New South Wales,NSW,Briarbrook,2365,-30.17876,151.35991
New South Wales,NSW,Brockley,2365,-30.26061,151.86129
New South Wales,NSW,Brushy Creek,2365,-30.18355,151.48184
New South Wales,NSW,Bundarra,2359,-30.09661,151.05996
New South Wales,NSW,Castle Doyle,2350,-30.62825,151.78619
New South Wales,NSW,Dangarsleigh,2350,-30.62796,151.68227
New South Wales,NSW,Donald Creek,2350,-30.42438,151.76057
New South Wales,NSW,Dumaresq,2350,-30.43302,151.55409
New South Wales,NSW,Ebor,2453,-30.40543,152.31573
New South Wales,NSW,Enmore (Armidale Regional - NSW),2350,-30.72933,151.84406
New South Wales,NSW,Enmore (Armidale Regional - NSW),2042,-33.90021,151.16983
New South Wales,NSW,Falconer,2365,-30.17431,151.73648
New South Wales,NSW,Georges Creek (NSW),2365,-30.16061,151.20954
New South Wales,NSW,Green Hills (Armidale Regional - NSW),2365,-30.26488,151.78422
New South Wales,NSW,Green Hills (Armidale Regional - NSW),2730,-35.55352,148.03156
New South Wales,NSW,Guyra,2365,-30.21551,151.62542
New South Wales,NSW,Hillgrove (Armidale Regional - NSW),2350,-30.63081,151.96912
New South Wales,NSW,Hillgrove (Armidale Regional - NSW),2650,-35.04511,147.35566
New South Wales,NSW,Howell,2360,-29.93794,151.0473
New South Wales,NSW,Jeogla,2350,-30.68695,152.17593
New South Wales,NSW,Kellys Plains,2350,-30.5833,151.62612
New South Wales,NSW,Kookabookra,2370,-30.02076,152.03276
New South Wales,NSW,Llangothlin,2365,-30.09819,151.68095
New South Wales,NSW,Lower Creek,2440,-30.66391,152.28119
New South Wales,NSW,Lyndhurst (Armidale Regional - NSW),2350,-30.35785,152.05709
New South Wales,NSW,Lyndhurst (Armidale Regional - NSW),2797,-33.68638,148.98683
New South Wales,NSW,Metz,2350,-30.57975,151.83313
New South Wales,NSW,New Valley,2365,-30.06726,151.3374
New South Wales,NSW,Oban,2365,-30.09946,151.86446
New South Wales,NSW,Puddledock,2350,-30.38482,151.75855
New South Wales,NSW,South Guyra,2365,-30.23934,151.67283
New South Wales,NSW,Stanborough,2360,-29.986,151.06387
New South Wales,NSW,Tenterden (NSW),2365,-30.11342,151.42202
New South Wales,NSW,Thalgarrah,2350,-30.40553,151.88916
New South Wales,NSW,Tilbuster,2350,-30.41649,151.70075
New South Wales,NSW,Tingha,2369,-29.97429,151.24976
New South Wales,NSW,Tubbamurra,2365,-30.09974,151.78491
New South Wales,NSW,Wandsworth,2365,-30.00179,151.46391
New South Wales,NSW,Wards Mistake,2350,-30.13063,152.03198
New South Wales,NSW,Wollomombi,2350,-30.48225,152.14401
New South Wales,NSW,Wongwibinda,2350,-30.2705,152.19963
New South Wales,NSW,Alstonvale,2477,-28.7955,153.44451
New South Wales,NSW,Alstonville,2477,-28.83869,153.44743
New South Wales,NSW,Bagotville,2477,-28.9771,153.40871
New South Wales,NSW,Ballina,2478,-28.83481,153.55796
New South Wales,NSW,Broken Head,2481,-28.73002,153.59346
New South Wales,NSW,Brooklet,2479,-28.7464,153.50417
New South Wales,NSW,Cabbage Tree Island (Ballina - NSW),2477,-28.98013,153.45672
New South Wales,NSW,Cabbage Tree Island (Ballina - NSW),2430,-31.94604,152.59093
New South Wales,NSW,Coolgardie (NSW),2478,-28.916,153.46031
New South Wales,NSW,Cumbalum,2478,-28.81697,153.53722
New South Wales,NSW,Dalwood (Ballina - NSW),2477,-28.89386,153.41514
New South Wales,NSW,Dalwood (Ballina - NSW),2335,-32.63101,151.41408
New South Wales,NSW,East Ballina,2478,-28.85856,153.58891
New South Wales,NSW,East Wardell,2477,-28.96332,153.4839
New South Wales,NSW,Empire Vale,2478,-28.92253,153.51995
New South Wales,NSW,Fernleigh,2479,-28.76919,153.48888
New South Wales,NSW,Keith Hall,2478,-28.89346,153.5458
New South Wales,NSW,Knockrow,2479,-28.76054,153.54021
New South Wales,NSW,Lennox Head,2478,-28.79156,153.58251
New South Wales,NSW,Lynwood (NSW),2477,-28.87076,153.44272
New South Wales,NSW,Marom Creek,2480,-28.90867,153.36512
New South Wales,NSW,McLeans Ridges,2480,-28.79233,153.39586
New South Wales,NSW,Meerschaum Vale,2477,-28.92631,153.41861
New South Wales,NSW,Newrybar,2479,-28.72773,153.54935
New South Wales,NSW,Patchs Beach,2478,-28.94696,153.50893
New South Wales,NSW,Pearces Creek,2477,-28.77089,153.44344
New South Wales,NSW,Pimlico (NSW),2478,-28.89426,153.49903
New South Wales,NSW,Rous,2477,-28.86359,153.40664
New South Wales,NSW,Rous Mill,2477,-28.8798,153.38181
New South Wales,NSW,Skennars Head,2478,-28.83301,153.58983
New South Wales,NSW,South Ballina,2478,-28.885,153.56988
New South Wales,NSW,Teven,2478,-28.81447,153.49145
New South Wales,NSW,Tintenbar,2478,-28.79193,153.53018
New South Wales,NSW,Tuckombil,2477,-28.8128,153.4678
New South Wales,NSW,Uralba,2477,-28.87374,153.4782
New South Wales,NSW,Wardell,2477,-28.96017,153.45732
New South Wales,NSW,West Ballina,2478,-28.85657,153.52284
New South Wales,NSW,Wollongbar,2477,-28.82016,153.40855
New South Wales,NSW,Arumpo,2715,-33.59205,143.02266
New South Wales,NSW,Balranald,2715,-34.32979,143.38926
New South Wales,NSW,Booligal,2711,-33.7322,144.68326
New South Wales,NSW,Clare (NSW),2711,-33.46751,143.97828
New South Wales,NSW,Corrong,2711,-34.02416,144.49898
New South Wales,NSW,Euston,2737,-34.37351,142.83635
New South Wales,NSW,Hatfield,2715,-33.72245,143.70999
New South Wales,NSW,Ivanhoe (NSW),2878,-32.70224,144.18213
New South Wales,NSW,Kyalite,2715,-34.9038,143.52329
New South Wales,NSW,Oxley (Balranald - NSW),2711,-34.04068,144.07173
New South Wales,NSW,Oxley (Balranald - NSW),2824,-30.99238,147.61842
New South Wales,NSW,Abercrombie,2795,-33.39205,149.55367
New South Wales,NSW,Abercrombie River,2795,-33.91177,149.33265
New South Wales,NSW,Arkell,2795,-33.73572,149.38154
New South Wales,NSW,Bald Ridge,2795,-33.93829,149.42276
New South Wales,NSW,Bathampton,2795,-33.49192,149.41364
New South Wales,NSW,Bathurst,2795,-33.41899,149.57822
New South Wales,NSW,Billywillinga,2795,-33.28651,149.43743
New South Wales,NSW,Brewongle,2795,-33.4724,149.69051
New South Wales,NSW,Bruinbun,2795,-33.11923,149.47319
New South Wales,NSW,Caloola,2795,-33.63911,149.43494
New South Wales,NSW,Charlton (NSW),2795,-33.6726,149.63848
New South Wales,NSW,Clear Creek,2795,-33.33365,149.71685
New South Wales,NSW,Colo (Bathurst Regional - NSW),2795,-33.77583,149.26472
New South Wales,NSW,Colo (Bathurst Regional - NSW),2756,-33.41666,150.80587
New South Wales,NSW,Copperhannia,2795,-33.87559,149.21311
New South Wales,NSW,Cow Flat,2795,-33.57423,149.51235
New South Wales,NSW,Crudine,2795,-32.98189,149.67504
New South Wales,NSW,Dunkeld (NSW),2795,-33.41056,149.48096
New South Wales,NSW,Duramana,2795,-33.25552,149.54998
New South Wales,NSW,Eglinton (NSW),2795,-33.36736,149.54308
New South Wales,NSW,Evans Plains,2795,-33.45879,149.48258
New South Wales,NSW,Fitzgeralds Mount,2799,-33.496,149.37749
New South Wales,NSW,Fitzgeralds Valley,2795,-33.52397,149.39364
New South Wales,NSW,Forest Grove (NSW),2795,-33.38908,149.66106
New South Wales,NSW,Fosters Valley,2795,-33.61641,149.5403
New South Wales,NSW,Freemantle,2795,-33.27954,149.36488
New South Wales,NSW,Gemalla,2795,-33.50167,149.84233
New South Wales,NSW,Georges Plains,2795,-33.53022,149.4909
New South Wales,NSW,Glanmire (NSW),2795,-33.42048,149.70868
New South Wales,NSW,Gormans Hill,2795,-33.46815,149.59526
New South Wales,NSW,Gowan,2795,-33.14962,149.35098
New South Wales,NSW,Hill End (NSW),2850,-33.0176,149.43937
New South Wales,NSW,Kelso (NSW),2795,-33.4286,149.62263
New South Wales,NSW,Killongbutta,2795,-33.18202,149.42588
New South Wales,NSW,Kirkconnell,2795,-33.42186,149.8521
New South Wales,NSW,Laffing Waters,2795,-33.36741,149.61966
New South Wales,NSW,Limekilns,2795,-33.24679,149.74934
New South Wales,NSW,Llanarth (NSW),2795,-33.39785,149.55099
New South Wales,NSW,Locksley (NSW),2795,-33.51554,149.79864
New South Wales,NSW,Meadow Flat,2795,-33.44048,149.92553
New South Wales,NSW,Milkers Flat,2795,-33.28085,149.39791
New South Wales,NSW,Millah Murrah,2795,-33.1778,149.60211
New South Wales,NSW,Mitchell (NSW),2795,-33.42617,149.55775
New South Wales,NSW,Mount Panorama,2795,-33.45107,149.55214
New South Wales,NSW,Mount Rankin,2795,-33.29542,149.47777
New South Wales,NSW,Napoleon Reef,2795,-33.39306,149.74713
New South Wales,NSW,O'Connell (NSW),2795,-33.55661,149.74675
New South Wales,NSW,Orton Park,2795,-33.46781,149.57298
New South Wales,NSW,Paling Yards (Bathurst Regional - NSW),2795,-33.17999,149.74452
New South Wales,NSW,Paling Yards (Bathurst Regional - NSW),2580,-34.11537,149.73907
New South Wales,NSW,Peel,2795,-33.30031,149.65436
New South Wales,NSW,Perthville,2795,-33.49539,149.54636
New South Wales,NSW,Raglan (NSW),2795,-33.42069,149.65113
New South Wales,NSW,Robin Hill,2795,-33.42392,149.53175
New South Wales,NSW,Rock Forest,2795,-33.35538,149.40076
New South Wales,NSW,Rockley,2795,-33.70014,149.53845
New South Wales,NSW,Rockley Mount,2795,-33.55312,149.55535
New South Wales,NSW,Sallys Flat,2850,-33.02976,149.56818
New South Wales,NSW,Sofala,2795,-33.05221,149.69533
New South Wales,NSW,South Bathurst,2795,-33.4427,149.57444
New South Wales,NSW,Sunny Corner,2795,-33.374,149.87982
New South Wales,NSW,Tambaroora,2850,-32.96504,149.40327
New South Wales,NSW,Tannas Mount,2795,-33.61325,149.64097
New South Wales,NSW,Tarana,2787,-33.54282,149.8835
New South Wales,NSW,The Lagoon,2795,-33.54556,149.62179
New South Wales,NSW,The Rocks (Bathurst Regional - NSW),2795,-33.43208,149.42276
New South Wales,NSW,The Rocks (Bathurst Regional - NSW),2000,-33.85881,151.20806
New South Wales,NSW,Triangle Flat,2795,-33.78763,149.44994
New South Wales,NSW,Trunkey Creek,2795,-33.80655,149.34199
New South Wales,NSW,Turondale,2795,-33.1164,149.59522
New South Wales,NSW,Vittoria (NSW),2799,-33.41713,149.34886
New South Wales,NSW,Walang,2795,-33.45191,149.76801
New South Wales,NSW,Wambool,2795,-33.50983,149.75898
New South Wales,NSW,Wattle Flat (NSW),2795,-33.14822,149.68001
New South Wales,NSW,Watton,2795,-33.31249,149.41692
New South Wales,NSW,West Bathurst,2795,-33.40794,149.56176
New South Wales,NSW,White Rock (NSW),2795,-33.46169,149.61692
New South Wales,NSW,Wiagdon,2795,-33.21622,149.66267
New South Wales,NSW,Wimbledon,2795,-33.53998,149.43485
New South Wales,NSW,Windradyne,2795,-33.40579,149.54454
New South Wales,NSW,Yarras (Bathurst Regional - NSW),2795,-33.36586,149.67356
New South Wales,NSW,Yarras (Bathurst Regional - NSW),2446,-31.43574,152.36024
New South Wales,NSW,Yetholme,2795,-33.43259,149.81415
New South Wales,NSW,Angledale,2550,-36.63357,149.8683
New South Wales,NSW,Bald Hills (NSW),2549,-36.91032,149.84467
New South Wales,NSW,Barragga Bay,2546,-36.50366,150.05204
New South Wales,NSW,Bega,2550,-36.6858,149.84245
New South Wales,NSW,Bemboka,2550,-36.61579,149.5671
New South Wales,NSW,Bermagui,2546,-36.42695,150.03923
New South Wales,NSW,Berrambool,2548,-36.88087,149.91027
New South Wales,NSW,Black Range (NSW),2550,-36.73385,149.84332
New South Wales,NSW,Bournda,2548,-36.8114,149.88941
New South Wales,NSW,Boydtown,2551,-37.10498,149.87917
New South Wales,NSW,Broadwater (Bega Valley - NSW),2549,-36.97201,149.89187
New South Wales,NSW,Broadwater (Bega Valley - NSW),2472,-29.03581,153.43522
New South Wales,NSW,Brogo,2550,-36.47625,149.69
New South Wales,NSW,Buckajo,2550,-36.69187,149.75555
New South Wales,NSW,Burragate,2550,-37.0024,149.64101
New South Wales,NSW,Candelo,2550,-36.78368,149.66763
New South Wales,NSW,Chinnock,2550,-36.69548,149.93088
New South Wales,NSW,Cobargo,2550,-36.39471,149.88836
New South Wales,NSW,Coolagolite,2550,-36.44001,149.97133
New South Wales,NSW,Coopers Gully,2550,-36.65093,149.79347
New South Wales,NSW,Cuttagee,2546,-36.48445,150.03813
New South Wales,NSW,Devils Hole,2550,-36.87327,149.64948
New South Wales,NSW,Dignams Creek,2546,-36.31507,149.97006
New South Wales,NSW,Doctor George Mountain,2550,-36.66422,149.8972
New South Wales,NSW,Eden,2551,-37.01948,149.89459
New South Wales,NSW,Frogs Hollow,2550,-36.76362,149.81617
New South Wales,NSW,Greendale (Bega Valley - NSW),2550,-36.58179,149.86683
New South Wales,NSW,Greendale (Bega Valley - NSW),2745,-33.92591,150.66162
New South Wales,NSW,Greigs Flat,2549,-36.97379,149.85238
New South Wales,NSW,Jellat Jellat,2550,-36.72389,149.88184
New South Wales,NSW,Kalaru,2550,-36.73111,149.92941
New South Wales,NSW,Kameruka,2550,-36.71649,149.69874
New South Wales,NSW,Kanoona,2550,-36.74811,149.77545
New South Wales,NSW,Kiah,2551,-37.15396,149.83619
New South Wales,NSW,Kingswood (Bega Valley - NSW),2550,-36.74426,149.82036
New South Wales,NSW,Kingswood (Bega Valley - NSW),2747,-33.76129,150.72784
New South Wales,NSW,Kingswood (Bega Valley - NSW),2340,-31.16136,150.9308
New South Wales,NSW,Lochiel (NSW),2549,-36.94665,149.78377
New South Wales,NSW,Merimbula,2548,-36.89614,149.90424
New South Wales,NSW,Millingandi,2549,-36.88276,149.85648
New South Wales,NSW,Mirador,2548,-36.87677,149.91989
New South Wales,NSW,Mogareeka,2550,-36.69284,149.98017
New South Wales,NSW,Mogilla,2550,-36.70807,149.5615
New South Wales,NSW,Morans Crossing,2550,-36.66822,149.65451
New South Wales,NSW,Mount Darragh,2632,-36.84696,149.57767
New South Wales,NSW,Murrah,2546,-36.51768,149.98489
New South Wales,NSW,Myrtle Mountain,2550,-36.85567,149.68366
New South Wales,NSW,Narrabarba,2551,-37.22079,149.77249
New South Wales,NSW,Nelson (Bega Valley - NSW),2765,-33.64457,150.92333
New South Wales,NSW,Nelson (Bega Valley - NSW),2550,-36.66695,149.957
New South Wales,NSW,Nethercote,2549,-37.02572,149.7945
New South Wales,NSW,New Buildings,2550,-36.96069,149.55961
New South Wales,NSW,Nullica,2551,-37.05542,149.77363
New South Wales,NSW,Numbugga,2550,-36.62236,149.7105
New South Wales,NSW,Pambula,2549,-36.92999,149.87665
